server,client,test_abbr
aioquic,aioquic,SATL
aioquic,lsquic,SATL
aioquic,mvfst,SATL
aioquic,neqo,SATL
aioquic,neqo,T
aioquic,ngtcp2,SATL
aioquic,picoquic,SATL
aioquic,quant,SATL
aioquic,quic-go,SATL
aioquic,quiche,SATL
aioquic,xquic,SATL
haproxy,picoquic,SATL
haproxy,picoquic,SAT
kwik,aioquic,SATL
kwik,lsquic,SATL
kwik,mvfst,SATL
kwik,neqo,SATL
kwik,neqo,T
kwik,ngtcp2,SATL
kwik,picoquic,SATL
kwik,picoquic,SAT
kwik,quant,SATL
kwik,quic-go,SATL
kwik,quiche,SATL
kwik,xquic,SATL
lsquic,neqo,T
msquic,neqo,T
mvfst,neqo,T
mvfst,xquic,SAT
mvfst,xquic,SATL
mvfst,xquic,T
neqo,neqo,T
neqo,picoquic,SATL
neqo,quant,T
nginx,aioquic,SAT
nginx,neqo,T
nginx,ngtcp2,SAT
nginx,quiche,SAT
ngtcp2,neqo,T
ngtcp2,quant,SAT
ngtcp2,quant,SATL
ngtcp2,quant,T
quant,aioquic,SATL
quant,lsquic,SATL
quant,mvfst,SATL
quant,neqo,SATL
quant,neqo,SAT
quant,neqo,T
quant,ngtcp2,SATL
quant,picoquic,SATL
quant,quant,SAT
quant,quant,SATL
quant,quant,T
quant,quic-go,SATL
quant,quiche,SATL
quant,xquic,SATL
quic-go,neqo,T
quic-go,ngtcp2,SATL
quic-go,quant,SAT
quiche,neqo,T
s2n-quic,picoquic,SATL
xquic,neqo,T
xquic,quant,T
picoquic,neqo,T
haproxy,picoquic,EUT
aioquic,picoquic,AST
haproxy,picoquic,AST
aioquic,aioquic,AST
aioquic,lsquic,AST
aioquic,mvfst,AST
aioquic,neqo,AST
aioquic,neqo,EUT
aioquic,ngtcp2,AST
aioquic,quant,AST
aioquic,quiche,AST
aioquic,xquic,AST
kwik,neqo,AST
kwik,neqo,EUT
kwik,quant,AST
kwik,quiche,AST
kwik,quiche,EUT
lsquic,aioquic,AST
lsquic,aioquic,EUT
lsquic,kwik,AST
lsquic,kwik,EUT
lsquic,lsquic,AST
lsquic,lsquic,EUT
lsquic,msquic,AST
lsquic,msquic,EUT
lsquic,mvfst,EUT
lsquic,neqo,AST
lsquic,neqo,EUT
lsquic,ngtcp2,AST
lsquic,quant,AST
lsquic,quant,EUT
lsquic,quic-go,EUT
lsquic,quiche,AST
lsquic,quiche,EUT
lsquic,xquic,AST
lsquic,xquic,EUT
msquic,quant,EUT
mvfst,neqo,AST
mvfst,neqo,EUT
mvfst,xquic,AST
mvfst,xquic,EUT
neqo,neqo,AST
neqo,neqo,EUT
nginx,aioquic,AST
nginx,aioquic,EUT
nginx,kwik,AST
nginx,kwik,EUT
nginx,lsquic,AST
nginx,lsquic,EUT
nginx,mvfst,AST
nginx,mvfst,EUT
nginx,neqo,AST
nginx,neqo,EUT
nginx,ngtcp2,AST
nginx,ngtcp2,EUT
nginx,picoquic,EUT
nginx,picoquic,AST
nginx,quic-go,AST
nginx,quic-go,EUT
nginx,quiche,AST
nginx,quiche,EUT
nginx,xquic,AST
nginx,xquic,EUT
xquic,neqo,AST
xquic,neqo,EUT
